,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,Tm_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Steven Adams,C,26.0,OKC,44.0,44.0,26.7,4.5,7.5,0.6,0.0,0.0,0.0,4.5,7.5,.602,0.6,1.8,3.2,.579,3.4,5.9,9.3,2.6,0.7,1.1,1.5,1.9,10.8,C,26.0,OKC,44.0,1173,21.1,0.609,.003,.424,14.6,23.4,19.2,14.7,1.2,3.6,14.0,17.1,,3.0,1.8,4.8,.197,,1.6,3.3,4.8,2.0
1,Bam Adebayo,PF,22.0,MIA,47.0,47.0,34.5,6.1,10.4,0.589,0.0,0.2,0.091,6.1,10.2,.600,0.59,3.6,5.3,.692,2.5,7.9,10.4,4.7,1.2,1.1,2.8,2.5,16.0,PF,22.0,MIA,47.0,1621,20.6,0.625,.022,.503,8.7,24.1,16.9,21.6,1.7,3.2,17.9,19.9,,3.6,2.6,6.2,.185,,1.1,3.8,5.0,2.8
2,LaMarcus Aldridge,C,34.0,SAS,43.0,43.0,33.2,7.4,14.6,0.51,1.2,2.8,0.429,6.3,11.8,.528,0.55,3.0,3.6,.845,2.0,5.5,7.5,2.3,0.6,1.7,1.4,2.5,19.1,C,34.0,SAS,43.0,1426,20.7,0.59,.189,.247,6.5,17.4,12.0,11.0,0.9,4.5,7.9,22.9,,3.2,1.2,4.4,.147,,1.7,0.6,2.3,1.6
3,Nickeil Alexander-Walker,SG,21.0,NOP,39.0,0.0,12.7,2.0,5.8,0.342,1.0,3.0,0.342,0.9,2.8,.343,0.431,0.4,0.7,.607,0.2,1.8,2.0,1.9,0.3,0.2,1.0,1.1,5.4,SG,21.0,NOP,39.0,494,8.2,0.445,.520,.124,1.5,15.4,8.3,20.8,1.0,1.2,13.8,23.0,,-0.6,0.3,-0.3,-0.034,,-3.8,-2.2,-6.0,-0.5
4,Grayson Allen,SG,24.0,MEM,30.0,0.0,16.6,2.6,5.9,0.449,1.1,3.0,0.363,1.5,2.8,.541,0.5429999999999999,1.0,1.2,.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4,SG,24.0,MEM,30.0,498,11.5,0.5770000000000001,.517,.199,1.1,12.9,7.1,11.7,0.6,0.2,10.7,18.0,,0.5,0.1,0.6,.059,,-0.7,-2.9,-3.6,-0.2
5,Jarrett Allen,C,21.0,BRK,47.0,43.0,27.3,4.4,6.8,0.648,0.0,0.1,0.0,4.4,6.7,.656,0.648,2.5,4.0,.640,3.1,6.5,9.6,1.3,0.7,1.5,1.2,2.4,11.4,C,21.0,BRK,47.0,1282,20.4,0.664,.012,.579,11.8,24.0,18.1,7.3,1.2,4.4,12.2,15.0,,3.4,2.1,5.5,.206,,0.2,3.0,3.2,1.7
6,Kadeem Allen,SG,27.0,NYK,9.0,0.0,10.7,1.9,4.7,0.405,0.6,1.8,0.313,1.3,2.9,.462,0.46399999999999997,0.6,0.9,.625,0.2,0.7,0.9,2.1,0.4,0.2,0.9,0.8,4.9,SG,27.0,NYK,9.0,96,13.5,0.483,.381,.190,2.1,6.8,4.4,31.2,2.0,2.0,14.9,23.6,,0.0,0.1,0.0,.019,,-1.5,-2.8,-4.3,-0.1
7,Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,21.1,1.4,4.8,0.29100000000000004,0.5,2.0,0.25,0.9,2.8,.320,0.34299999999999997,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,PF,29.0,ORL,18.0,380,7.8,0.395,.419,.337,6.4,18.2,12.1,7.6,2.3,1.9,14.7,13.2,,-0.4,0.6,0.2,.023,,-5.0,2.4,-2.6,-0.1
8,Justin Anderson,SF,26.0,BRK,3.0,0.0,5.7,0.3,2.0,0.16699999999999998,0.0,1.0,0.0,0.3,1.0,.333,0.16699999999999998,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0,SF,26.0,BRK,3.0,17,-3.8,0.218,.500,.333,0.0,11.8,6.1,0.0,0.0,4.8,0.0,16.9,,-0.1,0.0,-0.1,-0.173,,-12.7,-2.8,-15.5,-0.1
9,Kyle Anderson,PF,26.0,MEM,43.0,5.0,17.3,2.1,4.3,0.48100000000000004,0.2,0.9,0.21100000000000002,1.9,3.5,.550,0.503,0.7,1.2,.620,0.9,3.0,3.9,2.1,0.7,0.5,0.9,1.4,5.1,PF,26.0,MEM,43.0,742,13.0,0.524,.203,.267,5.5,18.6,12.2,15.9,2.0,2.4,15.0,13.8,,0.5,0.8,1.3,.082,,-1.9,1.9,0.0,0.4
