,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
0,Steven Adams,C,26.0,OKC,46.0,46.0,26.8,4.5,7.5,0.6,0.0,0.0,0.0,4.5,7.5,.602,0.6,1.8,3.2,0.586,3.3,5.9,9.2,2.6,0.7,1.1,1.5,1.9,10.8,C,26.0,46.0,1232,20.8,0.61,.003,.420,14.2,23.4,19.0,14.7,1.2,3.5,14.3,17.1,,3.1,1.9,5.0,.194,,1.4,3.2,4.6,2.1
1,Bam Adebayo,PF,22.0,MIA,51.0,51.0,34.7,6.3,10.7,0.585,0.0,0.2,0.091,6.2,10.5,.596,0.586,3.5,5.2,0.688,2.5,7.8,10.4,4.8,1.2,1.2,2.7,2.4,16.1,PF,22.0,51.0,1770,20.7,0.621,.020,.483,8.7,23.9,16.7,22.1,1.7,3.3,17.5,20.0,,4.0,2.8,6.8,.184,,1.2,3.8,5.0,3.1
2,LaMarcus Aldridge,C,34.0,SAS,47.0,47.0,33.1,7.3,14.6,0.501,1.2,2.8,0.41700000000000004,6.2,11.8,.522,0.541,3.0,3.5,0.8420000000000001,2.0,5.5,7.4,2.4,0.6,1.7,1.3,2.4,18.8,C,34.0,47.0,1554,20.4,0.581,.192,.240,6.3,17.6,12.0,11.2,0.9,4.4,7.5,22.9,,3.2,1.3,4.5,.139,,1.5,0.6,2.1,1.6
3,Nickeil Alexander-Walker,SG,21.0,NOP,40.0,0.0,12.5,1.9,5.6,0.342,1.0,2.9,0.342,0.9,2.7,.343,0.431,0.4,0.7,0.607,0.2,1.8,2.0,1.9,0.3,0.2,1.0,1.1,5.3,SG,21.0,40.0,498,7.9,0.445,.520,.124,1.5,15.4,8.4,20.8,1.0,1.2,14.4,22.9,,-0.7,0.3,-0.4,-0.036,,-3.9,-2.1,-6.0,-0.5
4,Grayson Allen,SG,24.0,MEM,30.0,0.0,16.6,2.6,5.9,0.449,1.1,3.0,0.363,1.5,2.8,.541,0.5429999999999999,1.0,1.2,0.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4,SG,24.0,30.0,498,11.4,0.5770000000000001,.517,.199,1.1,12.9,7.1,11.7,0.6,0.2,10.7,18.0,,0.5,0.2,0.6,.062,,-0.8,-2.7,-3.5,-0.2
5,Jarrett Allen,C,21.0,BRK,50.0,46.0,27.0,4.4,6.8,0.644,0.0,0.1,0.0,4.4,6.7,.654,0.644,2.4,3.9,0.629,3.1,6.6,9.7,1.4,0.6,1.5,1.2,2.4,11.2,C,21.0,50.0,1350,20.4,0.6579999999999999,.015,.571,12.1,24.5,18.5,7.9,1.1,4.5,12.0,14.9,,3.6,2.3,5.9,.211,,0.2,3.3,3.5,1.9
6,Kadeem Allen,SG,27.0,NYK,10.0,0.0,11.7,1.9,4.4,0.43200000000000005,0.5,1.6,0.313,1.4,2.8,.500,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,SG,27.0,10.0,117,14.1,0.512,.364,.250,1.7,6.6,4.0,27.4,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,-1.3,-2.6,-3.9,-0.1
7,Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,21.1,1.4,4.8,0.29100000000000004,0.5,2.0,0.25,0.9,2.8,.320,0.34299999999999997,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,PF,29.0,18.0,380,7.8,0.395,.419,.337,6.5,18.3,12.2,7.6,2.3,1.9,14.7,13.3,,-0.4,0.6,0.2,.021,,-5.0,2.3,-2.8,-0.1
8,Justin Anderson,SF,26.0,BRK,3.0,0.0,5.7,0.3,2.0,0.16699999999999998,0.0,1.0,0.0,0.3,1.0,.333,0.16699999999999998,0.3,0.7,0.5,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0,SF,26.0,3.0,17,-3.8,0.218,.500,.333,0.0,11.7,6.0,0.0,0.0,4.8,0.0,16.9,,-0.1,0.0,-0.1,-0.168,,-12.7,-2.6,-15.3,-0.1
9,Kyle Anderson,PF,26.0,MEM,46.0,7.0,17.6,2.1,4.3,0.48,0.2,0.9,0.2,1.9,3.5,.550,0.5,0.7,1.1,0.635,0.9,3.1,4.0,2.2,0.7,0.5,0.9,1.5,5.1,PF,26.0,46.0,811,12.9,0.523,.200,.260,5.6,18.5,12.2,15.9,2.0,2.4,15.2,13.6,,0.5,0.9,1.4,.085,,-2.0,2.1,0.1,0.4
