Name,Last,First,Player_Name,GID,Date,Starter,FD_Pts,FD_Sal,Pos,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
Young Trae,Young,Trae,Trae Young,5708,20200209,1,67.7,"9,700",PG,atl,H,nyk,140,135,47.67,48pt 1rb 13as 2st 7to 6trey 13-30fg 16-16ft
Harden James,Harden,James,James Harden,4224,20200209,1,63,"11,500",SG,hou,H,uta,113,114,38.82,28pt 10rb 10as 1st 2bl 1to 2trey 11-23fg 4-6ft
Morant Ja,Morant,Ja,Ja Morant,5841,20200209,1,57,"6,200",PG,mem,A,was,106,99,35,27pt 10rb 10as 1st 1bl 3to 2trey 9-17fg 7-9ft
Westbrook Russell,Westbrook,Russell,Russell Westbrook,4079,20200209,1,55.2,"10,100",PG,hou,H,uta,113,114,37.7,39pt 6rb 4as 1st 1bl 3to 1trey 18-33fg 2-4ft
Lillard Damian,Lillard,Damian,Damian Lillard,4523,20200209,1,52.8,"9,900",PG,por,H,mia,115,109,37.53,33pt 4rb 8as 1st 1bl 3to 6trey 11-23fg 5-6ft
Simmons Ben,Simmons,Ben,Ben Simmons,4925,20200209,1,51,"8,800",PG,phi,H,chi,118,111,36.58,19pt 10rb 10as 4st 7to 6-13fg 7-10ft
LaVine Zach,LaVine,Zach,Zach LaVine,4706,20200209,1,48.2,"8,000",SG,chi,A,phi,111,118,39.92,32pt 1rb 8as 3st 1bl 9to 5trey 11-21fg 5-6ft
Korkmaz Furkan,Korkmaz,Furkan,Furkan Korkmaz,5157,20200209,,47,"3,800",SG,phi,H,chi,118,111,31.57,31pt 5rb 2as 3st 2to 6trey 12-17fg 1-1ft
Dragic Goran,Dragic,Goran,Goran Dragic,4092,20200209,,43.3,"5,300",PG,mia,A,por,109,115,30.83,27pt 4rb 7as 1st 2to 5trey 8-20fg 6-7ft
Beal Bradley,Beal,Bradley,Bradley Beal,4494,20200209,1,43.3,"10,300",SG,was,H,mem,99,106,34.03,26pt 4rb 3as 2st 1bl 1to 1trey 10-25fg 5-7ft
Clarkson Jordan,Clarkson,Jordan,Jordan Clarkson,4668,20200209,,40.2,"4,200",SG,uta,A,hou,114,113,29,30pt 6rb 2as 3trey 12-19fg 3-3ft
Williams Louis,Williams,Louis,Louis Williams,3816,20200209,1,39.5,"5,400",SG,lac,A,cle,133,92,26.15,25pt 5rb 3as 2st 2to 1trey 8-14fg 8-10ft
Trent Jr. Gary,Trent,Jr. Gary,Jr. Gary Trent,5663,20200209,,38.8,"3,700",SG,por,H,mia,115,109,33.1,22pt 4rb 4st 5trey 8-11fg 1-1ft
Paul Chris,Paul,Chris,Chris Paul,3786,20200209,1,38.5,"7,100",PG,okc,H,bos,111,112,32.85,22pt 5rb 5as 2st 3to 1trey 8-15fg 5-6ft
Schroder Dennis,Schroder,Dennis,Dennis Schroder,4595,20200209,,36.9,"6,800",SG,okc,H,bos,111,112,36.42,22pt 7rb 1as 1st 1bl 1to 3trey 8-21fg 3-3ft
Gilgeous-Alexander Shai,Gilgeous-Alexander,Shai,Shai Gilgeous-Alexander,5690,20200209,1,36.2,"7,900",SG,okc,H,bos,111,112,33.08,24pt 6rb 4as 1to 3trey 8-12fg 5-7ft
Mitchell Donovan,Mitchell,Donovan,Donovan Mitchell,5136,20200209,1,36,"7,100",SG,uta,A,hou,114,113,36.55,24pt 5rb 6as 3to 4trey 9-23fg 2-2ft
Payton Elfrid,Payton,Elfrid,Elfrid Payton,4699,20200209,1,35.3,"7,300",PG,nyk,A,atl,135,140,36.6,12pt 4rb 9as 2st 1bl 4to 5-14fg 2-2ft
Conley Mike,Conley,Mike,Mike Conley,3979,20200209,1,33,"5,600",PG,uta,A,hou,114,113,33.63,20pt 5rb 6as 2to 2trey 8-16fg 2-3ft
Robinson Duncan,Robinson,Duncan,Duncan Robinson,5681,20200209,1,32.7,"4,700",SG,mia,A,por,109,115,38.03,19pt 6rb 3as 1st 1to 6trey 6-15fg 1-1ft
Walker Kemba,Walker,Kemba,Kemba Walker,4440,20200209,1,32.3,"7,200",PG,bos,A,okc,112,111,30.05,27pt 4rb 1as 1to 4trey 6-16fg 11-13ft
Huerter Kevin,Huerter,Kevin,Kevin Huerter,5754,20200209,1,29.6,"5,000",SG,atl,H,nyk,140,135,47.63,16pt 3rb 6as 1bl 2to 2trey 6-13fg 2-2ft
Bullock Reggie,Bullock,Reggie,Reggie Bullock,4654,20200209,1,29.3,"3,800",SG,nyk,A,atl,135,140,37.25,21pt 4rb 1as 1st 1to 5trey 8-18fg
Ntilikina Frank,Ntilikina,Frank,Frank Ntilikina,5219,20200209,,28.4,"3,500",PG,nyk,A,atl,135,140,25.75,9pt 2rb 8as 2st 1to 3-8fg 3-4ft
Satoransky Tomas,Satoransky,Tomas,Tomas Satoransky,4980,20200209,1,28.3,"5,200",PG,chi,A,phi,111,118,31.85,10pt 4rb 7as 1st 1trey 3-9fg 3-3ft
