Name,GID,Team,Opp,Home,NewGameFDP,LastFDP,AvgFDP,AvgPTS,LastPT,AvgMIN,LastMIN,AvgFGM,LastFGM,AvgFGA,LastFGA,Avg3PTS,Last3PTS,AvgREB,LastREB,AvgAST,LastAST,AvgSTL,AvgTOV,LastTOV,Date,Last3GameAvgFDP,Last3GameAvgMIN,Last3GameAvgPTS,position,Rank,TeamStdFDP,TeamAvgFDP,TeamMaxFDP
Louis Williams,3816,lac,gsw,0,40.6,38.5,38.5,21.0,21,36.73333333,36.73333333,8.0,8,14.0,14,1.0,1,5.0,5,7.0,7,1.0,2.0,2,2019-10-23,38.5,36.73333333,21.0,SG,advanced,11.726993687743715,30.02857142857143,47.7
Montrezl Harrell,4857,lac,gsw,0,23.7,34.4,34.4,17.0,17,38.36666667,38.36666667,7.0,7,11.0,11,0.0,0,7.0,7,4.0,4,1.0,3.0,3,2019-10-23,34.4,38.36666667,17.0,C,advanced,11.726993687743715,30.02857142857143,47.7
Patrick Beverley,4234,lac,gsw,0,27.3,24.0,24.0,2.0,2,31.36666667,31.36666667,1.0,1,7.0,7,0.0,0,10.0,10,6.0,6,0.0,2.0,2,2019-10-23,24.0,31.36666667,2.0,PG,average,11.726993687743715,30.02857142857143,47.7
Andre Drummond,4489,det,atl,1,49.4,81.6,81.6,32.0,32,40.8,40.8,0.0,0,0.0,0,0.0,0,23.0,23,2.0,2,3.0,2.0,2,2019-10-23,81.6,40.8,32.0,C,top,23.54465362424587,27.325,81.6
Derrick Rose,4073,det,atl,1,29.7,29.9,29.9,18.0,18,26.58333333,26.58333333,6.0,6,11.0,11,0.0,0,2.0,2,9.0,9,0.0,4.0,4,2019-10-23,29.9,26.58333333,18.0,SG,average,23.54465362424587,27.325,81.6
Langston Galloway,4735,det,atl,1,21.1,12.8,12.8,5.0,5,20.01666667,20.01666667,2.0,2,4.0,4,1.0,1,4.0,4,0.0,0,1.0,3.0,3,2019-10-23,12.8,20.01666667,5.0,SG,belowAvg,23.54465362424587,27.325,81.6
Landry Shamet,5704,lac,gsw,0,17.5,14.6,14.6,8.0,8,26.43333333,26.43333333,3.0,3,8.0,8,2.0,2,3.0,3,2.0,2,0.0,0.0,0,2019-10-23,14.6,26.43333333,8.0,PG,belowAvg,11.726993687743715,30.02857142857143,47.7
JaMychal Green,4581,lac,gsw,0,9.2,18.2,18.2,12.0,12,19.26666667,19.26666667,4.0,4,8.0,8,4.0,4,6.0,6,0.0,0,0.0,1.0,1,2019-10-23,18.2,19.26666667,12.0,PF,belowAvg,11.726993687743715,30.02857142857143,47.7
Reggie Jackson,4369,det,atl,1,14.3,12.7,12.7,5.0,5,20.35,20.35,2.0,2,3.0,3,1.0,1,1.0,1,5.0,5,0.0,1.0,1,2019-10-23,12.7,20.35,5.0,PG,belowAvg,23.54465362424587,27.325,81.6
Markieff Morris,4453,det,atl,1,15.2,16.8,16.8,8.0,8,22.6,22.6,3.0,3,11.0,11,1.0,1,4.0,4,2.0,2,1.0,2.0,2,2019-10-23,16.8,22.6,8.0,PF,belowAvg,23.54465362424587,27.325,81.6
