Player_Name,FD_pos,position,FD_Sal,PFDP,Last_FDP,Rank,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA
Alex_Len,5,C,4400,7.64,16.8,belowAvg,8.725,5.775,1.05,0.5,0.825,1,0.35,3.3,6.125,1.275,2.025
Al-Farouq_Aminu,4,PF,3800,9.72,12.9,belowAvg,4.333333333,4.888888889,1.166666667,1,0.444444444,0.944444444,0.5,1.388888889,4.777777778,1.055555556,1.611111111
Alfonzo_McKinnie,3,SF,3700,4.06,7.4,benchPlayer,4.125,2.84375,0.375,0.5,0.1875,0.59375,0.375,1.625,3.90625,0.5,0.71875
Andrew_Wiggins,2,SG,7700,21.56,21.5,average,22.675,5.15,3.675,0.65,0.85,2.425,2.2,4.175,10.375,3.525,4.875
Anfernee_Simons,1,PG,3500,12.05,16.5,belowAvg,8.92,2.48,1.5,0.34,0.18,1,1.08,3.36,8.32,1.12,1.4
Antonius_Cleveland,2,SG,3500,10.51,0,benchPlayer,1,0.75,0,0,0,0.25,0,0.5,1,0,0
Avery_Bradley,2,SG,3500,2.65,21.4,average,7.823529412,2.205882353,1.058823529,0.823529412,0.058823529,1,0.852941176,3.323529412,7.382352941,0.323529412,0.411764706
B.J._Johnson,3,SF,3500,8.6,4.4,benchPlayer,2.166666667,1,0.333333333,0.333333333,0,0.5,0.166666667,0.833333333,2.666666667,0.333333333,0.333333333
Ben_Simmons,1,PG,9300,7.54,40.3,top,16.72916667,7.791666667,8.229166667,2.208333333,0.604166667,3.458333333,0.041666667,4.854166667,8.875,2.791666667,4.666666667
Bismack_Biyombo,5,C,4000,8.47,3.8,benchPlayer,7.465116279,5.860465116,0.837209302,0.209302326,0.837209302,0.906976744,0,2.88372093,5.372093023,1.697674419,2.744186047
Blake_Griffin,4,PF,5700,12.78,17.4,belowAvg,15.5,4.666666667,3.277777778,0.388888889,0.388888889,2.222222222,1.5,4.888888889,13.88888889,4.222222222,5.444444444
Boban_Marjanovic,5,C,3900,8.66,6.2,benchPlayer,6.181818182,4.454545455,0.409090909,0.136363636,0.136363636,0.772727273,0.090909091,2.545454545,4.636363636,1,1.454545455
Bojan_Bogdanovic,3,SF,5600,7.1,27.9,average,21.16666667,4.104166667,2.020833333,0.5625,0.125,2.6875,3.25,5.145833333,12.08333333,3.416666667,3.833333333
Brandon_Clarke,4,PF,5200,3.8,34.5,advanced,12.16666667,5.738095238,1.476190476,0.523809524,0.857142857,0.928571429,0.428571429,4.523809524,7.30952381,1.547619048,1.857142857
Brian_Bowen_II,2,SG,3500,5.63,3,benchPlayer,0.666666667,0.333333333,0,0,0.333333333,0,0,0.333333333,1.333333333,0,0
C.J._McCollum,2,SG,7300,7.36,22.6,average,21.41304348,4.043478261,3.782608696,0.782608696,0.673913043,1.760869565,2.608695652,4.543478261,11.26086957,1.717391304,2.260869565
Caleb_Martin,3,SF,3500,0.3,2,benchPlayer,1.8,1,0.6,0.2,0.4,0.6,0,0.6,2,0.6,1
Cam_Reddish,3,SF,4300,29.5,7.5,benchPlayer,9.108695652,3.760869565,1.543478261,1.02173913,0.47826087,1.608695652,1.260869565,2.934782609,8.652173913,1.543478261,1.956521739
Carmelo_Anthony,3,SF,5600,19.1,22.5,average,15.79411765,6.617647059,1.558823529,0.911764706,0.529411765,1.794117647,1.411764706,5.117647059,12.55882353,2.323529412,2.764705882
