Player_name,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win,Start,Mins_played,FDP,DoubleD,TripleD,FD_Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,3pts,FGM,FGA,FG%,FTM,FTA,FT%
Drew Eubanks,1/10/2020,sas,mem,0,20,121,134,0,0,1.766666667,2,0,0,3500,5,65.06,0.25,2,0,0,0,0,0,0,0,0,0.00,2,2,1.00
Drew Eubanks,1/8/2020,sas,bos,1,19,129,114,1,0,2.266666667,2,0,0,3500,5,66.39,-1.99,2,0,0,0,0,0,0,1,1,1.00,0,0,0.00
Drew Eubanks,12/28/2019,sas,det,1,20.5,136,109,1,0,3.116666667,9.6,0,0,3500,5,62.96,0.9,6,3,0,0,0,0,0,3,3,1.00,0,0,0.00
Drew Eubanks,12/3/2019,sas,hou,1,20.5,135,133,1,0,6.266666667,4.9,0,0,3600,5,64.01,-0.87,2,2,1,0,0,1,0,1,1,1.00,0,0,0.00
Drew Eubanks,12/1/2019,sas,det,0,17,98,132,0,0,21.81666667,21.1,0,0,3500,5,61.27,2.79,9,8,1,0,1,2,0,4,6,0.67,1,1,1.00
Drew Eubanks,11/29/2019,sas,lac,1,20.5,107,97,1,0,1.066666667,0,0,0,3500,5,63.56,0.5,0,0,0,0,0,0,0,0,1,0.00,0,0,0.00
Drew Eubanks,11/1/2019,sas,gsw,1,22.5,127,110,1,0,1.966666667,2.6,0,0,3500,5,67.25,-2.57,0,3,0,0,0,1,0,0,2,0.00,0,0,0.00
Kostas Antetokounmpo,1/10/2020,lal,dal,1,21.75,129,114,1,0,2.3,1.5,0,0,3500,4,62.64,3.84,0,0,1,0,0,0,0,0,0,0.00,0,0,0.00
Kostas Antetokounmpo,10/27/2019,lal,cha,1,21.5,120,101,1,0,2.333333333,1.2,0,0,3500,4,64.88,0.55,0,1,0,0,0,0,0,0,0,0.00,0,0,0.00
Kostas Antetokounmpo,10/25/2019,lal,uta,1,22.5,95,86,1,0,0.466666667,0,0,0,3500,4,65.7,0.03,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00
Frank Mason III,12/22/2019,mil,ind,1,19,117,89,1,0,4.766666667,3.7,0,0,3500,1,64.74,1.17,1,1,1,0,0,0,0,0,3,0.00,1,2,0.50
Frank Mason III,12/14/2019,mil,cle,1,20.5,125,108,1,0,2.766666667,6.2,0,0,3500,1,63.33,0.8,0,1,2,1,0,1,0,0,0,0.00,0,0,0.00
Frank Mason III,11/30/2019,mil,cha,1,20,137,96,1,0,10.03333333,7,0,0,3500,1,62.23,1.52,4,0,2,0,0,0,1,1,4,0.25,1,2,0.50
Frank Mason III,11/29/2019,mil,cle,1,19.5,119,110,1,0,0.15,0,0,0,3500,1,65.47,-1.86,0,0,0,0,0,0,0,0,0,0.00,0,0,0.00
Louis Williams,2/1/2020,lac,min,1,15.5,118,106,1,0,29.2,31.8,0,0,5600,2,66.94,-0.42,17,4,6,1,0,2,0,7,9,0.78,3,3,1.00
Louis Williams,1/30/2020,lac,sac,0,22.5,103,124,0,0,29.96666667,28,0,0,5600,2,66.39,-0.09,22,0,6,1,0,6,1,7,2,3.50,7,7,1.00
Louis Williams,1/26/2020,lac,orl,1,18,112,97,1,0,26.6,16.9,0,0,6100,2,66.52,-0.83,15,2,1,0,0,2,2,3,10,0.30,7,8,0.88
Louis Williams,1/24/2020,lac,mia,1,20,122,117,1,0,27.03333333,26.9,0,0,6100,2,66.8,-1.55,16,2,7,0,0,2,2,5,4,1.25,4,4,1.00
Louis Williams,1/22/2020,lac,atl,0,19.5,95,102,0,1,34.53333333,32.7,0,0,6300,2,64.01,2.29,18,6,7,0,0,3,0,6,9,0.67,6,6,1.00
Louis Williams,1/18/2020,lac,nor,1,15.5,133,130,1,0,30.96666667,52.3,0,0,6100,2,67.44,-3.53,32,4,5,2,1,1,4,7,6,1.17,0,0,0.00
Louis Williams,1/16/2020,lac,orl,1,22.5,122,95,1,0,24.05,21.3,0,0,6200,2,66.07,-2.16,11,4,5,0,0,2,1,4,4,1.00,2,2,1.00
Louis Williams,1/14/2020,lac,cle,1,22.5,128,103,1,0,19.51666667,28.2,0,0,6300,2,66.16,-6.51,24,1,4,0,0,3,2,0,0,0.00,2,2,1.00
Louis Williams,1/12/2020,lac,den,0,20,104,114,0,1,34.93333333,36.8,0,0,6400,2,44.33,22.49,26,4,4,1,0,3,3,8,7,1.14,7,9,0.78
Louis Williams,1/10/2020,lac,gsw,1,22.5,109,100,1,0,30.78333333,36.4,0,0,6200,2,66.89,-0.07,21,2,8,0,1,2,3,6,2,3.00,6,6,1.00
Louis Williams,1/5/2020,lac,nyk,1,15.5,135,132,1,0,35.03333333,40.9,0,0,5700,2,67.12,-0.27,32,2,9,0,0,7,6,9,8,1.13,8,8,1.00
Louis Williams,1/4/2020,lac,mem,0,15.5,114,140,0,0,25.26666667,33.9,0,0,5700,2,67.3,-0.69,24,2,7,0,0,3,1,0,0,0.00,3,3,1.00
Louis Williams,1/2/2020,lac,det,1,22.5,126,112,1,0,30.31666667,34.5,0,0,5200,2,66.11,0.14,22,5,5,1,0,4,3,7,6,1.17,5,5,1.00
Louis Williams,12/28/2019,lac,uta,0,22.5,107,120,0,0,32.51666667,41.3,0,0,4900,2,66.39,-0.63,16,4,9,2,1,2,1,5,4,1.25,5,5,1.00
Louis Williams,12/25/2019,lac,lal,1,20,111,106,1,0,28.91666667,20.9,0,0,5100,2,65.38,-0.26,6,2,7,2,0,4,0,1,6,0.17,4,6,0.67
Louis Williams,12/22/2019,lac,okc,0,19,112,118,0,1,36.06666667,32.1,0,0,5100,2,63.88,2.24,22,3,7,0,0,4,1,7,10,0.70,7,7,1.00
Louis Williams,12/21/2019,lac,sas,1,20.5,134,109,1,0,23.76666667,32,0,0,5100,2,65.7,0.46,20,0,4,2,0,0,3,8,3,2.67,1,1,1.00
Louis Williams,12/19/2019,lac,hou,0,22.5,117,122,0,0,17.33333333,16.7,0,0,5500,2,66.62,-0.46,6,1,3,2,0,1,0,2,5,0.40,2,2,1.00
Louis Williams,12/17/2019,lac,pho,1,22.5,120,99,1,0,22.9,28.4,0,0,6100,2,66.57,-1.45,20,2,8,0,0,6,5,7,3,2.33,1,2,0.50
Louis Williams,12/11/2019,lac,tor,1,19,112,92,1,0,32.43333333,37.2,0,0,6000,2,67.67,-2.58,18,6,8,1,0,3,3,7,2,3.50,1,3,0.33
Louis Williams,12/9/2019,lac,ind,1,19,110,99,1,0,32.53333333,18.2,0,0,6800,2,62.1,4.79,6,1,6,0,1,1,0,2,9,0.22,2,2,1.00
Louis Williams,12/8/2019,lac,was,1,18,135,119,1,0,29.81666667,27.2,0,0,6800,2,68.12,-2.06,18,1,6,0,0,1,2,7,7,1.00,2,2,1.00
Louis Williams,12/6/2019,lac,mil,0,20.5,91,119,0,0,23.23333333,11.7,0,0,6800,2,66.16,-0.37,11,1,3,0,0,5,1,5,3,1.67,0,0,0.00
Louis Williams,12/3/2019,lac,por,1,22,117,97,1,0,25.25,24.3,0,0,7200,2,65.89,-0.1,9,4,7,1,0,3,0,4,4,1.00,1,1,1.00
Louis Williams,12/1/2019,lac,was,1,22.5,150,125,1,0,23.28333333,31.2,0,0,7300,2,66.25,-0.83,22,1,8,0,0,4,2,6,10,0.60,8,9,0.89
Louis Williams,11/29/2019,lac,sas,0,20.5,97,107,0,0,27.6,19.9,0,0,7600,2,63.56,1.59,7,2,7,1,0,3,1,2,10,0.20,2,2,1.00
Louis Williams,11/27/2019,lac,mem,1,20,121,119,1,0,32.36666667,46.7,1,0,7700,2,66.52,-1.91,24,1,13,2,0,4,3,6,8,0.75,9,3,3.00
Louis Williams,11/26/2019,lac,dal,1,20.5,114,99,1,0,33.48333333,32.2,0,0,7200,2,62.51,3.36,21,6,6,0,0,5,4,7,4,1.75,3,4,0.75
Louis Williams,11/24/2019,lac,nor,1,21,134,109,1,0,24.93333333,26.6,0,0,6900,2,65.89,-0.02,19,3,4,0,0,2,2,6,1,6.00,5,7,0.71
Louis Williams,11/22/2019,lac,hou,1,22.5,122,119,1,0,33.5,37.6,0,0,6900,2,66.39,-0.93,26,3,8,0,0,4,4,9,6,1.50,4,4,1.00
Louis Williams,11/20/2019,lac,bos,1,22,107,104,1,0,36.66666667,31.4,0,0,6800,2,64.01,0.88,27,2,2,2,0,7,3,0,0,0.00,4,4,1.00
Louis Williams,11/18/2019,lac,okc,1,22.5,90,88,1,0,32.35,26.7,0,0,7700,2,65.02,0.72,11,1,9,1,0,2,1,5,2,2.50,0,0,0.00
Louis Williams,11/16/2019,lac,atl,1,22.5,150,101,1,0,22.65,38.2,0,0,7800,2,65.79,0.77,25,6,6,0,0,3,0,5,3,1.67,0,0,0.00
Louis Williams,11/14/2019,lac,nor,0,20,127,132,0,1,36.68333333,50.9,0,0,7000,2,67.94,-1.69,31,2,9,2,0,2,1,0,0,0.00,8,10,0.80
Louis Williams,11/13/2019,lac,hou,0,19.5,93,102,0,0,40.96666667,32.4,0,0,7000,2,66.66,-0.69,20,7,4,0,0,2,1,8,2,4.00,3,3,1.00
Louis Williams,11/11/2019,lac,tor,1,22.5,98,88,1,0,35.76666667,32.8,0,0,7500,2,65.89,0.08,21,4,4,1,0,2,2,7,5,1.40,5,6,0.83
Louis Williams,11/7/2019,lac,por,1,22.5,107,101,1,0,28.58333333,47.6,0,0,6700,2,66.16,-0.23,26,3,8,0,3,3,1,7,6,1.17,0,0,0.00
Louis Williams,11/6/2019,lac,mil,0,22,124,129,0,1,39.26666667,51.7,1,0,6700,2,65.7,0.04,34,6,11,0,0,6,4,9,7,1.29,0,0,0.00
Louis Williams,11/3/2019,lac,uta,1,21,105,94,1,0,32.11666667,26.5,0,0,7000,2,65.52,-1.3,17,5,3,0,0,1,1,6,8,0.75,4,6,0.67
Louis Williams,10/31/2019,lac,sas,1,22.5,103,97,1,0,32.18333333,19.9,0,0,7400,2,66.07,-4.91,12,2,5,0,0,2,1,5,9,0.56,1,2,0.50
Louis Williams,10/30/2019,lac,uta,0,22,96,110,0,1,27.51666667,28.6,0,0,7000,2,49.9,14.55,24,3,4,0,0,5,1,9,7,1.29,5,7,0.71
Louis Williams,10/28/2019,lac,cha,1,22.5,111,96,1,0,28.98333333,33.8,0,0,7000,2,65.57,-1.12,23,4,4,1,0,3,2,7,7,1.00,7,9,0.78
Louis Williams,10/26/2019,lac,pho,0,22,122,130,0,0,28.53333333,23.4,0,0,6900,2,61.09,5.15,23,2,2,0,0,5,3,7,7,1.00,6,9,0.67
Louis Williams,10/24/2019,lac,gsw,1,22.5,141,122,1,0,29.4,40.6,0,0,6900,2,66.98,-1.4,22,3,8,1,0,0,1,5,1,5.00,0,0,0.00
Louis Williams,10/22/2019,lac,lal,1,22.5,112,102,1,0,36.73333333,38.5,0,0,6200,2,65.7,-0.12,21,5,7,1,0,2,1,8,4,2.00,4,4,1.00
Brandon Clarke,1/29/2020,mem,nyk,1,19.5,127,106,1,0,26.85,34.5,0,0,5200,4,66.98,-2.05,17,5,1,3,1,2,0,7,10,0.70,3,3,1.00
Brandon Clarke,1/28/2020,mem,den,1,20,104,96,1,0,21.01666667,25.2,0,0,4700,4,65.25,-0.32,12,6,2,0,1,0,0,6,9,0.67,0,0,0.00
Brandon Clarke,1/26/2020,mem,pho,1,18,114,109,1,0,23.18333333,26.4,0,0,4500,4,64.97,-0.1,10,7,0,2,1,1,0,4,9,0.44,2,2,1.00
Brandon Clarke,1/24/2020,mem,det,1,19,125,112,1,0,25.15,35.7,1,0,4500,4,63.42,3.9,15,11,1,1,1,0,0,5,9,0.56,5,5,1.00
Brandon Clarke,1/22/2020,mem,bos,0,19.5,95,119,0,0,23.08333333,13.4,0,0,4800,4,68.58,-2.12,9,2,2,0,0,1,1,4,6,0.67,0,0,0.00
Brandon Clarke,1/20/2020,mem,nor,0,17,116,126,0,0,23.43333333,11.8,0,0,4900,4,67.57,-1.11,4,4,2,0,0,0,0,2,4,0.50,0,0,0.00
Brandon Clarke,1/17/2020,mem,cle,1,20,113,109,1,0,25.31666667,27.9,0,0,4800,4,66.2,-0.41,15,2,3,0,2,0,1,6,8,0.75,2,2,1.00
Brandon Clarke,1/14/2020,mem,hou,1,20,121,110,1,0,23.93333333,25.4,0,0,4900,4,65.7,-0.12,14,7,2,1,0,3,0,6,7,0.86,2,2,1.00
Brandon Clarke,1/12/2020,mem,gsw,1,18,122,102,1,0,18.76666667,30.2,0,0,4500,4,65.98,-0.4,9,11,2,1,1,1,0,2,8,0.25,5,6,0.83
Brandon Clarke,1/10/2020,mem,sas,1,20,134,121,1,0,23.25,35.8,0,0,4500,4,65.06,0.24,10,9,4,1,2,0,0,3,5,0.60,4,4,1.00
Brandon Clarke,1/7/2020,mem,min,1,20,119,112,1,0,17.58333333,14.3,0,0,4800,4,66.66,-1.43,6,4,1,0,1,1,0,2,4,0.50,2,2,1.00
Brandon Clarke,1/5/2020,mem,pho,1,20,121,114,1,0,21.5,21.4,0,0,5000,4,62.78,3.55,10,7,0,0,1,0,0,5,7,0.71,0,1,0.00
Brandon Clarke,1/4/2020,mem,lac,1,15.5,140,114,1,0,17.75,16.7,0,0,5000,4,67.3,-4.02,8,6,1,0,0,0,0,3,8,0.38,2,2,1.00
Brandon Clarke,1/2/2020,mem,sac,0,22,123,128,0,0,19.58333333,18.7,0,0,5100,4,66.75,-8.58,8,6,1,1,0,1,0,3,5,0.60,2,2,1.00
Brandon Clarke,12/29/2019,mem,cha,1,20,117,104,1,0,25.08333333,37.3,0,0,4900,4,63.83,-5.66,18,4,3,1,3,2,1,7,2,3.50,3,3,1.00
Brandon Clarke,12/28/2019,mem,den,0,17,110,119,0,0,22.66666667,27.9,0,0,4900,4,44.33,20.34,15,2,5,0,1,0,0,6,8,0.75,3,4,0.75
Brandon Clarke,12/26/2019,mem,okc,1,20,110,97,1,0,19.28333333,24.8,0,0,5100,4,63.37,2.49,13,4,2,1,1,2,2,5,6,0.83,1,2,0.50
Brandon Clarke,12/23/2019,mem,sas,0,20,115,145,0,0,21.1,15.3,0,0,5500,4,65.52,0.34,10,4,1,0,0,1,0,5,9,0.56,0,0,0.00
Brandon Clarke,12/21/2019,mem,sac,1,20,119,115,1,0,18.75,19.3,0,0,5600,4,66.71,-0.64,8,4,3,1,0,1,0,4,6,0.67,0,2,0.00
Brandon Clarke,12/20/2019,mem,cle,0,19,107,114,0,0,17.21666667,11.1,0,0,5900,4,66.43,-1.74,6,3,1,0,0,0,0,3,6,0.50,0,0,0.00
Brandon Clarke,12/18/2019,mem,okc,0,20,122,126,0,0,25.23333333,34.9,0,0,5500,4,64.52,0.21,27,7,1,0,0,2,0,0,0,0.00,1,1,1.00
Brandon Clarke,12/16/2019,mem,mia,1,20,118,111,1,0,25.56666667,29.3,0,0,5700,4,64.7,0.03,14,9,1,0,1,0,0,5,9,0.56,4,5,0.80
Brandon Clarke,12/14/2019,mem,was,1,20,128,111,1,0,24.21666667,28.8,0,0,5700,4,64.7,-0.24,25,4,0,0,0,1,1,0,0,0.00,2,2,1.00
Brandon Clarke,12/11/2019,mem,pho,1,21,115,108,1,0,21.95,28.4,0,0,5000,4,62.64,-1.92,15,7,0,0,2,1,2,5,6,0.83,3,5,0.60
Brandon Clarke,12/1/2019,mem,min,1,15.5,115,107,1,1,10.4,2.7,0,0,5600,4,62.6,2.94,0,1,1,0,0,0,0,0,3,0.00,0,0,0.00
Brandon Clarke,11/29/2019,mem,uta,0,20,94,103,0,0,18.35,23,0,0,5500,4,65.75,-0.21,13,5,2,0,1,2,1,5,6,0.83,2,3,0.67
Brandon Clarke,11/27/2019,mem,lac,0,20,119,121,0,0,18.11666667,19.2,0,0,5500,4,66.52,-1.55,10,6,2,0,0,1,0,5,8,0.63,0,0,0.00
Brandon Clarke,11/25/2019,mem,ind,0,19,114,126,0,0,24.61666667,25.3,0,0,5400,4,62.87,2.15,17,4,1,0,1,1,1,8,9,0.89,0,0,0.00
Brandon Clarke,11/23/2019,mem,lal,0,20,108,109,0,0,21.11666667,27.2,0,0,5300,4,65.02,0,8,11,2,1,0,0,0,4,7,0.57,0,0,0.00
Brandon Clarke,11/19/2019,mem,gsw,0,20,95,114,0,0,25.71666667,33.5,0,0,5500,4,65.02,0.17,17,5,3,1,1,0,0,6,4,1.50,5,6,0.83
Brandon Clarke,11/17/2019,mem,den,0,18,114,131,0,0,24.21666667,25.5,0,0,4800,4,65.02,0.61,19,5,1,0,0,1,2,8,8,1.00,1,2,0.50
Brandon Clarke,11/15/2019,mem,uta,1,20,107,106,1,0,18.13333333,18.8,0,0,4800,4,66.75,-0.69,10,4,0,1,1,2,0,5,7,0.71,0,0,0.00
