AS,Player_name,ID,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA,ranking
-0.0,Drew_Eubanks,5679,20200110,sas,mem,0,20.0,121.0,134.0,0,0.0,1.766666667,1.0,1.0,2.0,0.0,0.0,3500.0,5.0,65.06,0.25,2,0,0,0,0,0,0,0,0,2,2,benchPlayer
1.0,Kostas_Antetokounmpo,5669,20200110,lal,dal,0,21.75,129.0,114.0,1,0.0,2.3,1.0,1.0,1.5,0.0,0.0,3500.0,4.0,62.64,3.84,0,0,1,0,0,0,0,0,0,0,0,benchPlayer
1.0,Frank_Mason_III,5153,20191222,mil,ind,1,19.0,117.0,89.0,1,0.0,4.766666667,1.0,1.0,3.7,0.0,0.0,3500.0,1.0,64.74,1.17,1,1,1,0,0,0,0,0,3,1,2,benchPlayer
6.0,Louis_Williams,3816,20200201,lac,min,1,15.5,118.0,106.0,1,0.0,29.2,1.0,1.0,31.8,0.0,0.0,5600.0,2.0,66.94,-0.42,17,4,6,1,0,2,0,7,19,3,3,advanced
1.0,Brandon_Clarke,5837,20200129,mem,nyk,0,19.5,127.0,106.0,1,0.0,26.85,1.0,1.0,34.5,0.0,0.0,5200.0,4.0,66.98,-2.05,17,5,1,3,1,2,0,7,10,3,3,advanced
4.0,Kyrie_Irving,4379,20200201,bkn,was,0,20.0,107.0,113.0,0,1.0,28.63333333,1.0,1.0,21.8,0.0,0.0,8900.0,1.0,65.7,1.46,11,4,4,1,1,6,1,5,12,0,0,average
-0.0,Thanasis_Antetokounmpo,4869,20200131,mil,den,1,21.0,115.0,127.0,0,1.0,5.233333333,1.0,1.0,7.0,0.0,0.0,3500.0,3.0,64.88,-0.25,4,0,0,1,0,0,0,2,3,0,1,benchPlayer
1.0,Louis_King,5862,20200127,det,cle,1,19.0,100.0,115.0,0,0.0,11.13333333,1.0,1.0,4.7,0.0,0.0,3500.0,3.0,63.83,-0.18,3,1,1,0,0,1,1,1,3,0,0,benchPlayer
-0.0,Quinn_Cook,4863,20200201,lal,sac,0,22.0,129.0,113.0,1,0.0,3.333333333,1.0,1.0,5.0,0.0,0.0,3700.0,1.0,67.12,-0.68,5,0,0,0,0,0,1,2,2,0,0,benchPlayer
1.0,Tim_Hardaway_Jr.,4628,20200201,dal,atl,1,20.5,123.0,100.0,1,1.0,26.91666667,1.0,1.0,9.7,0.0,0.0,4900.0,3.0,65.02,0.14,7,1,1,1,0,3,1,3,12,0,0,benchPlayer
-0.0,Moses_Brown,5936,20200120,por,gsw,1,22.0,129.0,124.0,1,0.0,2.25,1.0,1.0,0.2,0.0,0.0,3500.0,5.0,65.89,-0.11,0,1,0,0,0,1,0,0,0,0,0,benchPlayer
2.0,Seth_Curry,4564,20200201,dal,atl,1,20.5,123.0,100.0,1,0.0,20.75,1.0,1.0,25.2,0.0,0.0,4800.0,1.0,65.02,0.14,15,6,2,0,0,0,5,5,10,0,0,average
4.0,Dorian_Finney-Smith,4932,20200201,dal,atl,1,20.5,123.0,100.0,1,1.0,28.53333333,1.0,1.0,45.4,0.0,0.0,4500.0,3.0,65.02,0.14,22,7,4,2,1,0,4,7,13,4,4,top
-0.0,Melvin_Frazier,5707,20200127,orl,mia,0,19.5,92.0,113.0,0,0.0,2.516666667,1.0,1.0,0.0,0.0,0.0,3500.0,3.0,66.34,0.03,0,0,0,0,0,0,0,0,0,0,0,benchPlayer
3.0,Robin_Lopez,4112,20200202,mil,pho,1,14.0,129.0,108.0,1,0.0,12.56666667,1.0,1.0,13.5,0.0,0.0,3500.0,5.0,62.28,1.4,0,5,3,1,0,0,0,0,1,0,0,belowAvg
1.0,Nickeil_Alexander-Walker,5887,20200131,nor,mem,1,20.0,139.0,111.0,1,0.0,5.85,1.0,1.0,2.7,0.0,0.0,3500.0,2.0,67.16,-0.91,0,1,1,1,0,3,0,0,3,0,0,benchPlayer
2.0,Dejounte_Murray,4963,20200201,sas,cha,1,21.0,114.0,90.0,1,1.0,27.43333333,1.0,1.0,34.0,0.0,0.0,4900.0,1.0,64.93,-0.36,9,10,2,4,0,2,1,4,8,0,0,advanced
-0.0,Cristiano_Felicio,4845,20200202,chi,tor,0,15.0,102.0,129.0,0,0.0,15.91666667,1.0,1.0,7.8,0.0,0.0,3600.0,5.0,63.1,2.65,0,4,0,1,0,0,0,0,0,0,0,benchPlayer
3.0,Anfernee_Simons,5662,20200201,por,uta,1,22.5,124.0,107.0,1,0.0,23.66666667,1.0,1.0,16.5,0.0,0.0,3500.0,1.0,67.71,-0.36,7,5,3,0,0,1,1,3,6,0,0,belowAvg
-0.0,Vince_Carter,2448,20200201,atl,dal,0,20.5,100.0,123.0,0,0.0,24.35,1.0,1.0,19.0,0.0,0.0,3900.0,3.0,65.02,-1.05,10,5,0,0,1,0,0,4,12,2,2,belowAvg
9.0,James_Harden,4224,20200202,hou,nor,1,14.0,117.0,109.0,1,1.0,38.78333333,1.0,1.0,67.5,1.0,0.0,11000.0,2.0,66.62,0.19,40,10,9,0,2,4,7,0,0,9,9,top
6.0,Jrue_Holiday,4212,20200202,nor,hou,0,14.0,109.0,117.0,0,1.0,33.58333333,1.0,1.0,22.6,0.0,0.0,7800.0,2.0,66.62,-0.37,11,3,6,0,1,4,0,5,14,1,3,average
-0.0,Brian_Bowen_II,5810,20191118,ind,bkn,0,19.5,115.0,86.0,1,0.0,2.333333333,1.0,1.0,3.0,0.0,0.0,3500.0,2.0,64.83,0.99,0,0,0,0,1,0,0,0,1,0,0,benchPlayer
-0.0,Boban_Marjanovic,4893,20200128,dal,pho,1,20.5,104.0,133.0,0,0.0,4.733333333,1.0,1.0,6.2,0.0,0.0,3900.0,5.0,63.51,-1.67,5,1,0,0,0,0,0,1,2,3,4,benchPlayer
