ID,Player_name,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA
5679,Drew_Eubanks,20200110,sas,mem,0,20.0,121.0,134.0,0,0.0,1.766666667,1.0,1.0,2.0,0.0,0.0,3500.0,5.0,65.06,0.25,2,0,0,0,0,0,0,0,0,2,2
5679,Drew_Eubanks,20200108,sas,bos,0,19.0,129.0,114.0,1,0.0,2.266666667,1.0,1.0,2.0,0.0,0.0,3500.0,5.0,66.39,-1.99,2,0,0,0,0,0,0,1,1,0,0
5679,Drew_Eubanks,20191228,sas,det,1,20.5,136.0,109.0,1,0.0,3.116666667,1.0,1.0,9.6,0.0,0.0,3500.0,5.0,62.96,0.9,6,3,0,0,0,0,0,3,3,0,0
5679,Drew_Eubanks,20191203,sas,hou,1,20.5,135.0,133.0,1,0.0,6.266666667000001,1.0,1.0,4.9,0.0,0.0,3600.0,5.0,64.01,-0.87,2,2,1,0,0,1,0,1,1,0,0
5679,Drew_Eubanks,20191201,sas,det,0,17.0,98.0,132.0,0,0.0,21.81666667,1.0,1.0,21.1,0.0,0.0,3500.0,5.0,61.27,2.79,9,8,1,0,1,2,0,4,6,1,1
5679,Drew_Eubanks,20191129,sas,lac,1,20.5,107.0,97.0,1,0.0,1.066666667,1.0,1.0,0.0,0.0,0.0,3500.0,5.0,63.56,0.5,0,0,0,0,0,0,0,0,1,0,0
5679,Drew_Eubanks,20191101,sas,gsw,0,22.5,127.0,110.0,1,0.0,1.966666667,1.0,1.0,2.6,0.0,0.0,3500.0,5.0,67.25,-2.57,0,3,0,0,0,1,0,0,2,0,0
5669,Kostas_Antetokounmpo,20200110,lal,dal,0,21.75,129.0,114.0,1,0.0,2.3,1.0,1.0,1.5,0.0,0.0,3500.0,4.0,62.64,3.84,0,0,1,0,0,0,0,0,0,0,0
5669,Kostas_Antetokounmpo,20191027,lal,cha,1,21.5,120.0,101.0,1,0.0,2.333333333,1.0,1.0,1.2,0.0,0.0,3500.0,4.0,64.88,0.55,0,1,0,0,0,0,0,0,0,0,0
5669,Kostas_Antetokounmpo,20191025,lal,uta,1,22.5,95.0,86.0,1,0.0,0.466666667,1.0,1.0,0.0,0.0,0.0,3500.0,4.0,65.7,0.03,0,0,0,0,0,0,0,0,0,0,0
5153,Frank_Mason_III,20191222,mil,ind,1,19.0,117.0,89.0,1,0.0,4.766666667,1.0,1.0,3.7,0.0,0.0,3500.0,1.0,64.74,1.17,1,1,1,0,0,0,0,0,3,1,2
5153,Frank_Mason_III,20191214,mil,cle,1,20.5,125.0,108.0,1,0.0,2.766666667,1.0,1.0,6.2,0.0,0.0,3500.0,1.0,63.33,0.8,0,1,2,1,0,1,0,0,0,0,0
5153,Frank_Mason_III,20191130,mil,cha,1,20.0,137.0,96.0,1,0.0,10.03333333,1.0,1.0,7.0,0.0,0.0,3500.0,1.0,62.23,1.52,4,0,2,0,0,0,1,1,4,1,2
