Player_Name,Team,Win,Start,Minutes,FDP,DoubleD,TripleD,FD_Sal,FD_pos,ADI,VMI,pt,rb,as,st,bl,to,trey,fg,FGM,FG%,ft,FTM,FT%,ranking
Aaron Gordon,orl,Lose,1,34.16666667,37.5,0,0,5600,4,66.25,0,24,5,1,2,0,0,4,20-Sep,9,0.45,3-Feb,2,0.666666667,Advanced
Aaron Holiday,ind,Lose,0,26.68333333,24.2,0,0,4100,1,66.94,-3.6,17,1,4,0,0,0,3,11-Jul,7,0,0,0,0,AboveAVG
Abdel Nader,okc,Win,0,10.86666667,4,0,0,3500,3,63.28,1.15,2,0,0,0,1,1,0,3-Jan,1,0,0,0,0,belowAVG
Adam Mokoka,chi,Lose,0,4.433333333,2.4,0,0,3500,2,63.1,2.65,0,2,0,0,0,0,0,0-2,0,0,0,0,0,belowAVG
Admiral Schofield,was,Win,0,2.6,4.2,0,0,3700,3,67.94,-1.59,0,1,0,1,0,0,0,0,0,0,0,0,0,belowAVG
Al Horford,phi,Lose,1,28.85,24.8,0,0,6500,4,65.43,-0.31,9,9,4,0,0,1,1,11-Apr,4,0,0,0,0,AboveAVG
Alec Burks,gsw,Win,0,23.78333333,27.1,0,0,4700,3,63.19,4.07,15,3,3,0,2,2,3,10-Apr,4,0.4,4-Apr,4,1,AboveAVG
Alen Smailagic,gsw,Lose,0,11.96666667,9.7,0,0,3500,4,67.62,-0.69,5,1,3,0,0,1,0,3-Feb,2,0.666666667,1-Jan,1,1,belowAVG
Alex Caruso,lal,Win,0,16.18333333,20.7,0,0,3700,1,67.12,-0.68,13,1,1,2,0,1,3,6-May,5,0.833333333,0-1,0,0,AboveAVG
Alex Len,atl,Lose,0,14.25,16.8,0,0,4400,5,63.37,0.4,0,4,0,1,3,0,0,0-3,0,0,0,0,0,Average
Al-Farouq Aminu,orl,Lose,0,18.26666667,12.9,0,0,3800,4,66.89,-1.71,5,2,1,2,0,2,1,7-Feb,2,0,0,0,0,Average
Alfonzo McKinnie,cle,Lose,0,18.15,7.4,0,0,3700,3,63.19,0.86,5,2,0,0,0,0,1,4-Feb,2,0,0,0,0,belowAVG
Alize Johnson,ind,Lose,0,2.666666667,1,0,0,3500,4,66.02,-1.03,1,0,0,0,0,0,0,0-1,0,0,2-Jan,1,0.5,belowAVG
Allen Crabbe,min,Lose,0,4.05,0.2,0,0,3500,2,63.37,0.18,0,1,0,0,0,1,0,0-1,0,0,0,0,0,belowAVG
Allonzo Trier,nyk,Lose,0,13.25,2.4,0,0,3500,2,66.2,0.23,0,2,0,0,0,0,0,0-3,0,0,0,0,0,belowAVG
Amile Jefferson,orl,Lose,0,2.516666667,3,0,0,3500,4,66.34,0.03,0,0,0,1,0,0,0,0,0,0,0,0,0,belowAVG
Amir Coffey,lac,Lose,0,4.433333333,6.5,0,0,3500,4,67.3,-0.69,5,0,1,0,0,0,1,3-Feb,2,0,0,0,0,belowAVG
Andre Drummond,det,Win,1,30.2,51.4,1,0,9500,5,61.82,1.91,21,17,4,0,2,2,0,17-Sep,9,0.529411765,4-Mar,3,0.75, Top
Andrew Wiggins,min,Lose,1,26.53333333,21.5,0,0,7700,2,66.94,-3.38,13,5,3,0,0,2,1,11-Apr,4,0.363636364,5-Apr,4,0.8,AboveAVG
Anfernee Simons,por,Win,0,23.66666667,16.5,0,0,3500,1,67.71,-0.36,7,5,3,0,0,1,1,6-Mar,3,0,0,0,0,Average
Ante Zizic,cle,Win,0,9.566666667,9.2,0,0,3600,5,43.97,20.17,2,6,0,0,0,0,0,3-Jan,1,0,0,0,0,belowAVG
Anthony Davis,lal,Win,1,29.66666667,41.8,0,0,10300,4,67.12,-0.68,21,4,6,2,1,2,1,9-May,5,0,0,0,0,Advanced
Anthony Tolliver,sac,Lose,0,10.1,10,0,0,3500,4,67.12,-0.28,4,0,0,2,0,0,1,2-Jan,1,0.5,2-Jan,1,0.5,belowAVG
Antonius Cleveland,dal,Win,0,2.016666667,0,0,0,3500,2,65.02,0.14,0,0,0,0,0,0,0,0-1,0,0,0,0,0,belowAVG
Anzejs Pasecniks,was,Lose,0,9.483333333,2,0,0,3700,5,65.02,-0.36,2,0,0,0,0,0,0,3-Jan,1,0,0,0,0,belowAVG
Aron Baynes,pho,Win,0,12.18333333,5.9,0,0,4100,5,66.89,-2.52,3,2,1,0,0,1,1,6-Jan,1,0,0,0,0,belowAVG
Austin Rivers,hou,Win,0,23.61666667,19.4,0,0,4000,1,66.62,0.19,8,2,2,2,0,0,0,12-Apr,4,0,0,0,0,Average
Avery Bradley,lal,Win,1,20.08333333,21.4,0,0,3500,2,67.12,-0.68,19,2,0,0,0,0,5,13-Jul,7,0,0,0,0,AboveAVG
B.J. Johnson,orl,Lose,0,2.516666667,4.4,0,0,3500,3,66.34,0.03,2,2,0,0,0,0,0,0-1,0,0,2-Feb,2,1,belowAVG
Bam Adebayo,mia,Win,1,38.16666667,47.3,0,0,8000,4,66.25,0.25,4,14,5,3,4,2,0,8-Jan,1,0.125,4-Feb,2,0.5,Advanced
Ben McLemore,hou,Win,0,23.61666667,28,0,0,3500,2,66.62,0.19,22,0,0,2,0,0,4,12-Jun,6,0.5,8-Jun,6,0.75,AboveAVG
Ben Simmons,phi,Lose,1,37.43333333,40.3,0,0,9300,1,65.43,-0.31,23,9,5,1,0,4,0,14-Sep,9,0.642857143,9-May,5,0.555555556,Advanced
Bismack Biyombo,cha,Lose,0,7.666666667,3.8,0,0,4000,5,63.69,-1.12,0,4,0,0,0,1,0,0-3,0,0,0,0,0,belowAVG
Blake Griffin,det,Lose,1,28.88333333,17.4,0,0,5700,4,62.96,1.52,12,2,2,0,0,0,3,16-Mar,3,0.1875,4-Mar,3,0.75,Average
Boban Marjanovic,dal,Lose,0,4.733333333,6.2,0,0,3900,5,63.51,-1.67,5,1,0,0,0,0,0,2-Jan,1,0.5,4-Mar,3,0.75,belowAVG
Bobby Portis,nyk,Win,0,22.11666667,16.9,0,0,3600,5,63.6,2.37,5,7,1,0,1,1,1,6-Feb,2,0,0,0,0,Average
Bogdan Bogdanovic,sac,Lose,1,27.81666667,13.9,0,0,4800,2,67.12,-0.28,8,2,1,1,0,1,1,8-Mar,3,0.375,1-Jan,1,1,Average
Bojan Bogdanovic,uta,Lose,1,28.95,27.9,0,0,5600,3,67.71,-15.62,22,2,1,1,0,1,5,11-Jun,6,0.545454545,5-May,5,1,AboveAVG
Brad Wanamaker,bos,Win,0,26.11666667,26.7,0,0,3500,1,65.43,1.22,15,1,3,2,0,0,2,9-May,5,0.555555556,4-Mar,3,0.75,AboveAVG
Bradley Beal,was,Win,1,35.9,60.2,0,0,9600,2,65.7,0.86,34,6,2,3,3,2,2,0,0,0,0,0,0, Top
Brandon Clarke,mem,Win,0,26.85,34.5,0,0,5200,4,66.98,-2.05,17,5,1,3,1,2,0,10-Jul,7,0.7,3-Mar,3,1,Advanced
Brandon Goodwin,atl,Lose,0,24.46666667,25.9,0,0,3500,1,65.02,-1.05,11,7,5,0,0,1,1,11-Apr,4,0.363636364,2-Feb,2,1,AboveAVG
Brandon Ingram,nor,Lose,1,38.18333333,42.9,1,0,7700,3,66.62,-0.37,28,12,3,0,0,4,5,0,0,0,3-Mar,3,1,Advanced
Brandon Knight,cle,Lose,0,26.25,1.7,0,0,3700,1,66.16,-7.15,0,1,1,0,0,1,0,0-6,0,0,0,0,0,belowAVG
Brian Bowen II,ind,Win,0,2.333333333,3,0,0,3500,2,64.83,0.99,0,0,0,0,1,0,0,0-1,0,0,0,0,0,belowAVG
Brook Lopez,mil,Win,1,32.88333333,50.3,0,0,5000,5,62.28,1.4,17,4,1,0,9,0,1,16-Jul,7,0.4375,2-Feb,2,1, Top
Bruce Brown,det,Win,0,37.95,43,1,0,4300,2,61.82,1.91,19,10,8,0,0,0,3,10-Jul,7,0.7,2-Feb,2,1,Advanced
Bruno Caboclo,mem,Win,0,2.233333333,0,0,0,3500,3,65.98,-0.4,0,0,0,0,0,0,0,0-1,0,0,0,0,0,belowAVG
Bruno Fernando,atl,Win,1,19.46666667,29.4,1,0,3800,4,62.73,0.37,14,12,0,0,1,2,0,9-Jul,7,0,0,0,0,AboveAVG
Bryn Forbes,sas,Win,1,16.41666667,10.2,0,0,3600,2,64.93,-0.36,6,1,2,0,0,0,2,8-Feb,2,0,0,0,0,Average
Buddy Hield,sac,Lose,0,29.55,33.8,0,0,5900,2,67.12,-0.28,22,4,2,1,1,2,6,16-Aug,8,0,0,0,0,Advanced
C.J. McCollum,por,Win,1,34,22.6,0,0,7300,2,67.71,-0.36,14,3,2,1,1,4,2,14-Jun,6,0,0,0,0,AboveAVG
C.J. Miles,was,Lose,0,21.28333333,15.2,0,0,3500,3,45.02,21.09,5,1,2,2,0,0,0,7-Jan,1,0.142857143,5-Mar,3,0.6,Average
Caleb Martin,cha,Lose,0,3.783333333,2,0,0,3500,3,64.47,0.64,2,0,0,0,0,0,0,0,0,0,2-Feb,2,1,belowAVG
Caleb Swanigan,por,Win,0,12.98333333,8.2,0,0,3500,4,67.71,-0.36,0,6,0,0,1,2,0,0,0,0,0,0,0,belowAVG
Cam Reddish,atl,Lose,1,7.166666667,7.5,0,0,4300,3,65.02,-1.05,0,0,1,0,2,0,0,0-3,0,0,0,0,0,belowAVG
Cameron Johnson,pho,Win,0,23.38333333,16.8,0,0,3600,3,66.89,-4.22,10,4,0,0,1,1,2,9-Apr,4,0,0,0,0,Average
Caris LeVert,bkn,Lose,0,19.01666667,11.1,0,0,4000,2,65.7,1.46,6,3,1,0,0,0,1,9-Feb,2,0.222222222,2-Jan,1,0.5,Average
Carmelo Anthony,por,Win,1,32.01666667,22.5,0,0,5600,3,67.71,-0.36,15,5,1,0,0,0,1,15-May,5,0.333333333,4-Apr,4,1,AboveAVG
Carsen Edwards,bos,Win,0,2.983333333,0,0,0,3500,1,68.17,-0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Cedi Osman,cle,Lose,1,21.71666667,18.5,0,0,4600,3,63.19,0.86,10,0,3,2,0,2,2,7-Apr,4,0,0,0,0,Average
Chandler Hutchison,chi,Lose,1,27.6,25.5,0,0,4100,3,63.1,2.65,17,5,1,1,0,2,1,13-May,5,0.384615385,9-Jun,6,0.666666667,AboveAVG
Chandler Parsons,atl,Lose,0,10.95,4.7,0,0,3500,3,63.6,0.68,0,1,1,0,1,1,0,0-4,0,0,0,0,0,belowAVG
Charlie Brown,atl,Lose,0,3.3,1,0,0,3500,2,65.02,-1.05,2,0,0,0,0,1,0,2-Jan,1,0,0,0,0,belowAVG
Cheick Diallo,pho,Lose,0,25.91666667,20.9,0,0,3500,4,62.28,0.98,11,7,1,0,0,0,0,9-May,5,0.555555556,2-Jan,1,0.5,AboveAVG
Chimezie Metu,sas,Win,0,1.95,5,0,0,3500,5,64.93,-0.36,2,0,2,0,0,0,0,0,0,0,2-Feb,2,1,belowAVG
Chris Boucher,tor,Win,0,24.51666667,27.5,0,0,4300,4,63.1,1.34,15,5,1,2,0,1,1,10-May,5,0.5,4-Apr,4,1,AboveAVG
Chris Chiozza,bkn,Lose,0,4.4,5.7,0,0,3600,1,68.17,-0.53,0,1,1,1,0,0,0,0-1,0,0,0,0,0,belowAVG
Chris Clemons,hou,Win,0,7.3,3.2,0,0,3500,1,48.72,8.12,2,1,0,0,0,0,0,6-Jan,1,0,0,0,0,belowAVG
Chris Paul,okc,Win,1,34.36666667,49.2,1,0,7300,1,63.28,1.15,20,6,10,3,0,2,2,16-Jul,7,0.4375,4-Apr,4,1,Advanced
Chris Silva,mia,Lose,0,10.2,16,0,0,3500,4,66.3,0.2,1,5,0,3,0,0,0,0-2,0,0,2-Jan,1,0.5,Average
Christian Wood,det,Win,0,16.48333333,19.8,0,0,4500,4,61.82,1.91,11,4,0,2,0,2,1,10-May,5,0,0,0,0,Average
Clint Capela,hou,Lose,1,17.15,8.9,0,0,7800,5,67.62,-15.04,2,7,1,0,0,3,0,1-Jan,1,1,0-2,0,0,belowAVG
Coby White,chi,Lose,0,24.6,20.7,0,0,4200,1,63.1,2.65,12,1,5,0,0,0,4,13-Apr,4,0,0,0,0,AboveAVG
Cody Martin,cha,Lose,0,27.56666667,12.6,0,0,3700,2,64.93,0.64,8,3,2,0,0,2,1,7-Mar,3,0.428571429,2-Jan,1,0.5,Average
Cody Zeller,cha,Lose,1,29.96666667,48.4,1,0,4600,5,64.93,0.64,14,12,8,2,1,1,0,10-Jul,7,0,0,0,0,Advanced
Collin Sexton,cle,Lose,1,33,39.4,0,0,6100,1,63.19,0.86,23,2,4,3,0,1,3,16-Sep,9,0.5625,2-Feb,2,1,Advanced
Cory Joseph,sac,Lose,0,23.98333333,21.7,0,0,3800,1,67.12,-0.28,9,6,5,0,0,2,3,9-Mar,3,0,0,0,0,AboveAVG
Courtney Lee,dal,Win,0,8.2,2.4,0,0,3500,2,67.62,-3.63,0,2,0,0,0,0,0,0-1,0,0,0,0,0,belowAVG
Cristiano Felicio,chi,Lose,0,15.91666667,7.8,0,0,3600,5,63.1,2.65,0,4,0,1,0,0,0,0,0,0,0,0,0,belowAVG
