,variable,value
0,x0,0.0
1,x1,0.0
2,x10,0.0
3,x100,0.0
4,x101,0.0
5,x102,0.0
6,x103,0.0
7,x104,0.0
8,x105,0.0
9,x106,0.0
10,x107,1.0
11,x108,0.0
12,x109,0.0
13,x11,0.0
14,x110,0.0
15,x111,0.0
16,x112,0.0
17,x113,0.0
18,x114,0.0
19,x115,0.0
20,x116,0.0
21,x117,0.0
22,x118,0.0
23,x119,0.0
24,x12,0.0
25,x120,0.0
26,x121,0.0
27,x122,0.0
28,x123,0.0
29,x124,0.0
30,x125,0.0
31,x126,0.0
32,x127,0.0
33,x128,0.0
34,x129,0.0
35,x13,1.0
36,x130,0.0
37,x131,1.0
38,x14,0.0
39,x15,0.0
40,x16,0.0
41,x17,0.0
42,x18,0.0
43,x19,0.0
44,x2,0.0
45,x20,1.0
46,x21,0.0
47,x22,0.0
48,x23,0.0
49,x24,0.0
50,x25,0.0
51,x26,0.0
52,x27,0.0
53,x28,0.0
54,x29,0.0
55,x3,0.0
56,x30,0.0
57,x31,0.0
58,x32,0.0
59,x33,0.0
60,x34,0.0
61,x35,0.0
62,x36,0.0
63,x37,0.0
64,x38,0.0
65,x39,1.0
66,x4,0.0
67,x40,0.0
68,x41,0.0
69,x42,0.0
70,x43,0.0
71,x44,0.0
72,x45,0.0
73,x46,0.0
74,x47,0.0
75,x48,0.0
76,x49,0.0
77,x5,0.0
78,x50,0.0
79,x51,0.0
80,x52,1.0
81,x53,0.0
82,x54,1.0
83,x55,0.0
84,x56,0.0
85,x57,0.0
86,x58,0.0
87,x59,0.0
88,x6,0.0
89,x60,0.0
90,x61,0.0
91,x62,0.0
92,x63,0.0
93,x64,0.0
94,x65,0.0
95,x66,0.0
96,x67,0.0
97,x68,0.0
98,x69,0.0
99,x7,0.0
100,x70,0.0
101,x71,0.0
102,x72,0.0
103,x73,0.0
104,x74,0.0
105,x75,0.0
106,x76,0.0
107,x77,1.0
108,x78,0.0
109,x79,0.0
110,x8,0.0
111,x80,1.0
112,x81,0.0
113,x82,0.0
114,x83,0.0
115,x84,0.0
116,x85,0.0
117,x86,0.0
118,x87,0.0
119,x88,0.0
120,x89,0.0
121,x9,0.0
122,x90,0.0
123,x91,0.0
124,x92,0.0
125,x93,0.0
126,x94,0.0
127,x95,0.0
128,x96,0.0
129,x97,0.0
130,x98,0.0
131,x99,0.0
